scenario,condition,ID,content_mean,content_variance,alpha_accuracy_mean,alpha_accuracy_variance,alpha_target_mean,alpha_target_variance,alpha0,beta,gamma,epoch,action,action_prob,alpha_target_prior,alpha_accuracy_prior,content_prior,alpha_target_posterior,alpha_accuracy_posterior,content_posterior,alpha_target_prior_sd,alpha_accuracy_prior_sd,content_prior_sd,alpha_target_posterior_sd,alpha_accuracy_posterior_sd,content_posterior_sd
All,Differing-content-generalization,416,0.8,0.0225,0.2,0.0225,0.2,0.0225,1.0,10.0,1.0,epoch_4,Debunk,0.96618,-0.39586487536869075,0.1348471010538428,0.4809458418561836,-0.3982809321830131,0.13391201584976425,0.47734286112695984,0.07175279752033657,0.10320776693785601,0.2402565566732163,0.06940220282934184,0.10264059501685438,0.2389026054327058
All,Differing-content-generalization,416,0.8,0.0225,0.2,0.0225,0.2,0.0225,1.0,10.0,1.0,epoch_3,Debunk,0.96777,-0.39300164968116497,0.1373634117156641,0.48658039110365103,-0.39551038328911436,0.1358912039934583,0.4829791671410911,0.07480982666057179,0.10462831727203731,0.24263697054653474,0.0718050096145853,0.10376254725185367,0.2421054873037128
All,Differing-content-generalization,416,0.8,0.0225,0.2,0.0225,0.2,0.0225,1.0,10.0,1.0,epoch_1,Debunk,0.96006,-0.38646304458175457,0.13944221400147452,0.4993899917492852,-0.38984470181972747,0.13765109603360007,0.4927519406760057,0.08013536753679201,0.10628763974572801,0.25,0.07706228752227791,0.10443216694765062,0.24893449876277707
All,Differing-content-generalization,416,0.8,0.0225,0.2,0.0225,0.2,0.0225,1.0,10.0,1.0,epoch_5,Debunk,0.96712,-0.3972570211909789,0.13570250556520752,0.4747406660367181,-0.3995844813325626,0.13328045948457728,0.47011648009180573,0.06966541410701847,0.10400646468793931,0.2394689860838764,0.06781087667354858,0.10266092378910589,0.23750553379979916
All,Differing-content-generalization,416,0.8,0.0225,0.2,0.0225,0.2,0.0225,1.0,10.0,1.0,epoch_2,Debunk,0.96404,-0.39020730400393344,0.1360301295742048,0.49019616376001307,-0.3934033714137998,0.13545985144689182,0.48450464440949853,0.07765777537322437,0.10451904457363378,0.2463391741997468,0.07434746402346304,0.10322246512232268,0.24475836906329154
All,Differing-content-generalization,300,0.8,0.0025,0.8,0.0025,0.2,0.0625,1.0,10.0,1.0,epoch_4,Debunk,0.96591,-0.487069406660178,0.7744705127837727,0.38658523249281557,-0.4870163200846122,0.774194549170746,0.37325021844181305,0.022250955798835532,0.05236765584924427,0.19171519851770122,0.021992966990775867,0.052447533544878064,0.18162038256022942
All,Differing-content-generalization,300,0.8,0.0025,0.8,0.0025,0.2,0.0625,1.0,10.0,1.0,epoch_3,Debunk,0.95238,-0.48684773357897293,0.7750691701085508,0.4051683576416981,-0.48701121412871784,0.7748810800348428,0.38697101770525133,0.02254384649729637,0.05254191632081914,0.2025873090144134,0.022216615270657724,0.05262705753503341,0.18957952615276655
All,Differing-content-generalization,300,0.8,0.0025,0.8,0.0025,0.2,0.0625,1.0,10.0,1.0,epoch_1,Debunk,0.85252,-0.4857935552334787,0.7764353652707378,0.4997067648532749,-0.4862661649346321,0.7753964612274739,0.4399585083446196,0.024330721077894947,0.05209759234770194,0.25,0.02399068383375999,0.05225488200100449,0.22002511825876872
All,Differing-content-generalization,300,0.8,0.0025,0.8,0.0025,0.2,0.0625,1.0,10.0,1.0,epoch_5,Debunk,0.97673,-0.48700483459162336,0.7744149179995817,0.3699317363415278,-0.487121315926847,0.774649419728088,0.3610955236937733,0.02191866784894271,0.05232230063102173,0.1817531661109141,0.021838104390455016,0.052246318245094764,0.1738247456840698
All,Differing-content-generalization,300,0.8,0.0025,0.8,0.0025,0.2,0.0625,1.0,10.0,1.0,epoch_2,Debunk,0.93421,-0.4863514241253108,0.7747853842386752,0.43585423624311465,-0.486666387759664,0.774163116417158,0.40774168200191446,0.02344966296714221,0.05257532091860446,0.22133054796784918,0.023017332045547085,0.05274044180715071,0.20266650650736578
All,Differing-content-generalization,352,0.8,0.01,0.5,0.0025,0.2,0.0025,1.0,10.0,1.0,epoch_4,Debunk,0.94859,-0.3324717642856792,0.47861228987485743,0.38584169584549977,-0.332916036685383,0.47820155588091706,0.3706202629099041,0.040891672159782705,0.0488547481443765,0.20015402856526485,0.04066915199489912,0.04887550987620591,0.1895618526775723
All,Differing-content-generalization,352,0.8,0.01,0.5,0.0025,0.2,0.0025,1.0,10.0,1.0,epoch_3,Debunk,0.92651,-0.3320188977564818,0.4791598372154255,0.40985530774833534,-0.33267269225265894,0.47850608038585574,0.3875307959551971,0.040853600737552516,0.04869713612655599,0.21354617065231477,0.04059122704224413,0.048713648706263296,0.19969775908450016
All,Differing-content-generalization,352,0.8,0.01,0.5,0.0025,0.2,0.0025,1.0,10.0,1.0,epoch_1,Debunk,0.8508,-0.32915287173742264,0.4807773242230936,0.49964011775454753,-0.3307253035400823,0.4795617170739636,0.45030402533102326,0.04161947810933575,0.04946635469649821,0.25,0.04118314542562471,0.04942961685929279,0.22880376340136632
All,Differing-content-generalization,352,0.8,0.01,0.5,0.0025,0.2,0.0025,1.0,10.0,1.0,epoch_5,Debunk,0.95903,-0.33250660968562157,0.4776497961143949,0.3680402404445285,-0.3328973538434624,0.47724199745642043,0.3559938029525845,0.04031342223468656,0.049319290011704923,0.18904364294687667,0.03997571436912584,0.049324198412835876,0.1800559484305874
All,Differing-content-generalization,352,0.8,0.01,0.5,0.0025,0.2,0.0025,1.0,10.0,1.0,epoch_2,Debunk,0.90935,-0.3309072882403831,0.479793356343453,0.4467091857922319,-0.3318091406736989,0.47920602652414795,0.4129152091565565,0.04100965175846523,0.049278938334251086,0.23073345857202818,0.04077367830132057,0.049245230876789434,0.21282271044413623
All,Differing-content-generalization,47,0.2,0.0025,0.5,0.0625,0.2,0.0225,1.0,10.0,1.0,epoch_4,Debunk,0.93859,-0.36487317022481175,0.48529899896921613,0.38845783756533864,-0.37037614136384683,0.4809173113969522,0.37176110276820395,0.10357341642649802,0.24417862206233745,0.20203651920862561,0.09801107905208234,0.2428658128788971,0.19126427208587332
All,Differing-content-generalization,47,0.2,0.0025,0.5,0.0625,0.2,0.0225,1.0,10.0,1.0,epoch_3,Debunk,0.91923,-0.35673283124900684,0.49267256499955153,0.4140065446751789,-0.36385957520958273,0.4843171716902977,0.38935300221046926,0.10900378687282508,0.2454495240319728,0.21592624113859404,0.10253207499329484,0.24490655496031447,0.20176738947244102
All,Differing-content-generalization,47,0.2,0.0025,0.5,0.0625,0.2,0.0225,1.0,10.0,1.0,epoch_1,Debunk,0.82531,-0.3281303251755862,0.5214746658784609,0.4994464755083442,-0.34595639371029685,0.5027887030604449,0.44280146353230426,0.13037534460636013,0.24475713795184834,0.25,0.11632537010358915,0.24436148998669277,0.22969057883945662
All,Differing-content-generalization,47,0.2,0.0025,0.5,0.0625,0.2,0.0225,1.0,10.0,1.0,epoch_5,Debunk,0.95227,-0.37017359607219735,0.4766019471953164,0.3717128369998373,-0.37417048831477995,0.4739376117450419,0.3602407431149949,0.09869866565905755,0.24296626465829446,0.19238831209044727,0.09505756888468411,0.2422425978463769,0.18397627430911667
All,Differing-content-generalization,47,0.2,0.0025,0.5,0.0625,0.2,0.0225,1.0,10.0,1.0,epoch_2,Debunk,0.88579,-0.3466514248688098,0.5050236190072355,0.445481998931117,-0.35714389508370503,0.49335667866546057,0.4123201398406382,0.11773169285714319,0.2447746709238196,0.23032199786400712,0.10914249887085928,0.24380309115617815,0.21482865087793135
All,Differing-content-generalization,353,0.8,0.01,0.5,0.0025,0.2,0.0225,1.0,10.0,1.0,epoch_4,Debunk,0.95475,-0.43075945865706144,0.4850182100117245,0.4264863774527774,-0.43189716765720776,0.4845746780076396,0.41179844903105445,0.05267808790427422,0.049186032424598077,0.22184436196938093,0.051732819428800314,0.04928119919741665,0.21349849601892684
All,Differing-content-generalization,353,0.8,0.01,0.5,0.0025,0.2,0.0225,1.0,10.0,1.0,epoch_3,Debunk,0.94998,-0.42932289287918574,0.485343050089761,0.444695551336788,-0.4307540890326531,0.4849030981920647,0.42704426085428965,0.0538599197906664,0.04922451682205462,0.22906121744973326,0.05264873356003772,0.049353327019263475,0.22013969789229526
All,Differing-content-generalization,353,0.8,0.01,0.5,0.0025,0.2,0.0225,1.0,10.0,1.0,epoch_1,Debunk,0.9113,-0.42490534854983875,0.48687773546482166,0.5000970759122864,-0.42750534963417997,0.4855527029973462,0.4695981066999522,0.05753156636105904,0.04969645092341324,0.25,0.05532380629983891,0.04977489210757212,0.23709845343652214
All,Differing-content-generalization,353,0.8,0.01,0.5,0.0025,0.2,0.0225,1.0,10.0,1.0,epoch_5,Debunk,0.96438,-0.4310887980384675,0.48567452620384205,0.4132900945495701,-0.4320356131799734,0.48518959308146203,0.40169564228700133,0.051989638835727034,0.049419020896881126,0.21306249171450173,0.0512660293887411,0.04934013050005824,0.205499595613674
All,Differing-content-generalization,353,0.8,0.01,0.5,0.0025,0.2,0.0225,1.0,10.0,1.0,epoch_2,Debunk,0.93748,-0.42753558673501585,0.48588191973660244,0.4658547233772453,-0.42962553370131645,0.4853651504684198,0.44333817099148737,0.05530072154044214,0.04947666946588284,0.23706966371126015,0.05385547347523913,0.04936979629632178,0.2267002364332649
All,Differing-content-generalization,475,0.8,0.0225,0.8,0.0225,0.8,0.0025,1.0,10.0,1.0,epoch_4,Debunk,0.91908,0.2420454951059823,0.890120038277134,0.16615413739928112,0.24066647566145308,0.8931484754710085,0.15519727588989485,0.05510352534481936,0.08786925935622661,0.08671230671203194,0.055211962200502764,0.08508526211111392,0.07686862837407317
All,Differing-content-generalization,475,0.8,0.0225,0.8,0.0225,0.8,0.0025,1.0,10.0,1.0,epoch_3,Debunk,0.87631,0.24447937653171778,0.8884785220073632,0.18499653947932376,0.24217870523187293,0.8920318641974757,0.1665036851976218,0.05623501194370332,0.09046380488256907,0.1009862262636912,0.056390863738536905,0.08713145643270287,0.08481579392492876
All,Differing-content-generalization,475,0.8,0.0225,0.8,0.0225,0.8,0.0025,1.0,10.0,1.0,epoch_1,Debunk,0.32644,0.2552329725522532,0.8743672415914853,0.49947440816696187,0.24869758686848384,0.8820481358269099,0.23160723325875515,0.055352066299809245,0.10145567309632077,0.25,0.05610760065513769,0.09533607770345513,0.12223246700565328
All,Differing-content-generalization,475,0.8,0.0225,0.8,0.0225,0.8,0.0025,1.0,10.0,1.0,epoch_5,Debunk,0.94096,0.24032691569183381,0.8937520814314697,0.15402071112654708,0.23882726762155104,0.8958277776799944,0.1463459892743362,0.05564468191168849,0.08466874877974745,0.07800645989315336,0.05572040147481827,0.08238729791250919,0.07118103638146189
All,Differing-content-generalization,475,0.8,0.0225,0.8,0.0225,0.8,0.0025,1.0,10.0,1.0,epoch_2,Debunk,0.77625,0.24771718898063302,0.8824184640384537,0.22832490182405116,0.24437075842046616,0.8880659969010741,0.18590533073756357,0.056512936342307585,0.09528824871396331,0.12935001278405225,0.05698664381835233,0.09054432687919924,0.09658087201748142
All,Differing-content-generalization,314,0.8,0.0025,0.8,0.0225,0.8,0.0225,1.0,10.0,1.0,epoch_4,Debunk,0.94277,-0.3321742452289298,0.33927621621830506,0.4040621029571148,-0.33537112281809134,0.3350609893392295,0.38841743331435397,0.07370354500106764,0.17000936907433778,0.2176373380846417,0.07216022415023882,0.16828755113385632,0.20901836253223582
All,Differing-content-generalization,314,0.8,0.0025,0.8,0.0225,0.8,0.0225,1.0,10.0,1.0,epoch_3,Debunk,0.92894,-0.3272947671956807,0.34446149428099687,0.42963472173329986,-0.33112196029002516,0.3406187989035217,0.40782675707135263,0.07612366960979604,0.17188547737874074,0.22703479596288884,0.07396216977590028,0.17043750147379205,0.21598608756352258
All,Differing-content-generalization,314,0.8,0.0025,0.8,0.0225,0.8,0.0225,1.0,10.0,1.0,epoch_1,Debunk,0.8741,-0.31854939049581815,0.36356345659434974,0.5000615492425199,-0.3241853904735071,0.3517233270015745,0.46403035478436744,0.08174103485229309,0.17923321152237734,0.25,0.07833785587144114,0.1755676191806556,0.23859045355164127
All,Differing-content-generalization,314,0.8,0.0025,0.8,0.0225,0.8,0.0225,1.0,10.0,1.0,epoch_5,Debunk,0.94447,-0.3348040032654869,0.33552722728240775,0.39256729848245886,-0.3378824434398876,0.33279627358304714,0.38044026904381795,0.07226661133983782,0.1688790738362759,0.21197883349909305,0.07098824309562853,0.1675055716027558,0.20471620089908424
All,Differing-content-generalization,314,0.8,0.0025,0.8,0.0225,0.8,0.0225,1.0,10.0,1.0,epoch_2,Debunk,0.90101,-0.32411110557206385,0.3547526911888889,0.46366731144917506,-0.32821764956640054,0.34663248311124384,0.4338673598360108,0.07874321013692712,0.17585181339466913,0.2410505805269561,0.07572293332930602,0.17333664039676663,0.2291746765318125
All,Differing-content-generalization,94,0.2,0.01,0.2,0.0225,0.5,0.0025,1.0,10.0,1.0,epoch_4,Debunk,0.79742,-0.0371794867829081,0.3231978885219695,0.2653685142462673,-0.040699918522769885,0.3354148941050797,0.23503343018967465,0.045049920050749356,0.1678852932915698,0.1647629192799578,0.04437500675173672,0.16692443515253094,0.14523872175093966
All,Differing-content-generalization,94,0.2,0.01,0.2,0.0225,0.5,0.0025,1.0,10.0,1.0,epoch_3,Debunk,0.74272,-0.033482629060558794,0.31318745578820173,0.31036534680644756,-0.03768782280464715,0.32407164401061056,0.26764036460577484,0.045361344471700725,0.1687483958208239,0.18676144507393555,0.04482384122888874,0.1689750016302668,0.16298873291385169
All,Differing-content-generalization,94,0.2,0.01,0.2,0.0225,0.5,0.0025,1.0,10.0,1.0,epoch_1,Debunk,0.5351,-0.021232541591727508,0.309739616343288,0.5002718178886782,-0.028243442528028913,0.3058898165759907,0.38190628366485785,0.04648587346918485,0.16690582871803944,0.25,0.04597453563878266,0.16601970522504586,0.21757848634824528
All,Differing-content-generalization,94,0.2,0.01,0.2,0.0225,0.5,0.0025,1.0,10.0,1.0,epoch_5,Debunk,0.83587,-0.04022852886581151,0.3366947502049487,0.23550728107552238,-0.043180040671888284,0.3495331575013459,0.21506841669295165,0.04431989897490247,0.1688234107550262,0.14591300779614383,0.04388834708037068,0.16862435398790016,0.13167083724924838
All,Differing-content-generalization,94,0.2,0.01,0.2,0.0225,0.5,0.0025,1.0,10.0,1.0,epoch_2,Debunk,0.68159,-0.02840858455256953,0.3081227418471094,0.3795431961704903,-0.03357909098987992,0.3148049359383066,0.3113207583407828,0.046099315400372216,0.16656600945487857,0.21810476725858555,0.045633051632861195,0.16807876387986442,0.1863867254397324
All,Differing-content-generalization,337,0.8,0.01,0.2,0.0225,0.5,0.0025,1.0,10.0,1.0,epoch_4,Debunk,0.69668,-0.07571885702183538,0.06388885404322957,0.42720992533859947,-0.0806188718153759,0.06482878176962852,0.40584853663284187,0.04097051506614271,0.057674325913473365,0.2380079185180253,0.040316018854331295,0.05840336315868288,0.23337259342043065
All,Differing-content-generalization,337,0.8,0.01,0.2,0.0225,0.5,0.0025,1.0,10.0,1.0,epoch_3,Debunk,0.66978,-0.07077966646113744,0.06398892722303061,0.4511490289838844,-0.07573372475782351,0.06400739372514032,0.42627243706069845,0.04209032974486176,0.05793936159724884,0.24495413483891015,0.041028930073198557,0.05734677561692773,0.24089436628299518
All,Differing-content-generalization,337,0.8,0.01,0.2,0.0225,0.5,0.0025,1.0,10.0,1.0,epoch_1,Debunk,0.62821,-0.05834502113245739,0.06426850539237516,0.49990826664779237,-0.06510111922476398,0.06355068792319989,0.4742787087921128,0.044588893328455004,0.057573012988489596,0.25,0.043658075291451374,0.05675749080011863,0.2478665469377177
All,Differing-content-generalization,337,0.8,0.01,0.2,0.0225,0.5,0.0025,1.0,10.0,1.0,epoch_5,Debunk,0.69765,-0.08012176396371183,0.06468086983926521,0.40357895611488,-0.08459128175543823,0.06584465536899654,0.383062516743811,0.04045499877895987,0.05868737326039833,0.2329986775834953,0.03969267064639961,0.059386156335785374,0.22750991950932742
All,Differing-content-generalization,337,0.8,0.01,0.2,0.0225,0.5,0.0025,1.0,10.0,1.0,epoch_2,Debunk,0.64376,-0.06489642493782385,0.06374839033341374,0.4754991003686298,-0.07088274837480699,0.06379407678816021,0.4530320508834531,0.04376224317363123,0.05764864382658163,0.2479135071297709,0.04285448945457147,0.05744478567008854,0.24590474350331668
All,Differing-content-generalization,155,0.2,0.01,0.8,0.0625,0.2,0.0225,1.0,10.0,1.0,epoch_4,Debunk,0.94361,-0.3469585724668715,0.7906418646477978,0.3363338011207487,-0.35168931662901676,0.7882821801801113,0.3219490415883804,0.11509573780184189,0.25234237853101205,0.16881089493621682,0.11100548939568479,0.25376917410647193,0.1567199461286188
All,Differing-content-generalization,155,0.2,0.01,0.8,0.0625,0.2,0.0225,1.0,10.0,1.0,epoch_3,Debunk,0.92833,-0.34053576153869264,0.7920223674729805,0.3571109759921075,-0.34845083896329165,0.7885045039030729,0.33549380988709343,0.12024264402102251,0.2533034364077394,0.1833459612001816,0.11429675702772671,0.2544796362038729,0.1668580844195563
All,Differing-content-generalization,155,0.2,0.01,0.8,0.0625,0.2,0.0225,1.0,10.0,1.0,epoch_1,Debunk,0.72593,-0.31364495737007386,0.812757235898469,0.5000760232701336,-0.33085210307666335,0.79533849673894,0.40246998856090604,0.13958396098718484,0.23731282170435888,0.25,0.12747538095123337,0.249534586360409,0.20635149425102736
All,Differing-content-generalization,155,0.2,0.01,0.8,0.0625,0.2,0.0225,1.0,10.0,1.0,epoch_5,Debunk,0.96294,-0.35327472850281166,0.7877085192660207,0.32108305188179487,-0.3570221474862934,0.7868565349333415,0.3118750737259798,0.11004695939136565,0.25509210462110515,0.15583023084676184,0.10688615739585451,0.2560481828854438,0.14765302691848578
All,Differing-content-generalization,155,0.2,0.01,0.8,0.0625,0.2,0.0225,1.0,10.0,1.0,epoch_2,Debunk,0.88265,-0.3337276449259394,0.7969043256273084,0.4025163279881592,-0.3434562613897096,0.789114426207709,0.3610593199937126,0.1264873227227827,0.25041438710924213,0.20918820593347948,0.11861191473141904,0.2557307508553123,0.18331699541476051
All,Differing-content-generalization,99,0.2,0.01,0.2,0.0225,0.8,0.0625,1.0,10.0,1.0,epoch_4,Debunk,0.92923,-0.3282221062525019,0.290682633918142,0.41192082640197464,-0.33814875162266345,0.2882908845969949,0.395237542383541,0.11637281912013878,0.17669946237260575,0.22475351629954002,0.10791336735473364,0.1749531477359231,0.21713188051733737
All,Differing-content-generalization,99,0.2,0.01,0.2,0.0225,0.8,0.0625,1.0,10.0,1.0,epoch_3,Debunk,0.90432,-0.3143690984744095,0.2929838732451532,0.4337210038288986,-0.32707220142753085,0.2876160004972076,0.41347543339475085,0.12632585832409693,0.17663224986462195,0.2318316902107077,0.1155485796713751,0.17376090361852314,0.22362988485025742
All,Differing-content-generalization,99,0.2,0.01,0.2,0.0225,0.8,0.0625,1.0,10.0,1.0,epoch_1,Debunk,0.81444,-0.25968764228067276,0.30910897125153897,0.5007597653667635,-0.29544997434047593,0.29983875295454676,0.4595630116885661,0.16722579763712933,0.18556113929867293,0.25,0.14075123742614096,0.181847871307172,0.240240137322237
All,Differing-content-generalization,99,0.2,0.01,0.2,0.0225,0.8,0.0625,1.0,10.0,1.0,epoch_5,Debunk,0.93362,-0.33711332544483114,0.2869868716078711,0.39717920049544914,-0.34322289221349184,0.28454119111932535,0.3826923419463303,0.10844214576898814,0.1761128312698903,0.21548502297450933,0.10218927246544311,0.1748913423882324,0.20892770242455674
All,Differing-content-generalization,99,0.2,0.01,0.2,0.0225,0.8,0.0625,1.0,10.0,1.0,epoch_2,Debunk,0.86831,-0.2958295191781962,0.3003043957756855,0.462111729048188,-0.31589035269868854,0.2946120019738413,0.4334121821119523,0.14117583763021593,0.18040834718977922,0.24112073078683105,0.1253534169970201,0.1782045170180778,0.23216683661655046
All,Differing-content-generalization,270,0.8,0.0025,0.2,0.0625,0.8,0.0625,1.0,10.0,1.0,epoch_4,Debunk,0.95425,-0.35822722716403604,0.04865714284664794,0.4896903461648607,-0.36337851425879536,0.04792755504614596,0.48663770099811154,0.08867993167266526,0.07650041456508183,0.25043992651928476,0.0843381683608525,0.07520940454057956,0.2495578831730042
All,Differing-content-generalization,270,0.8,0.0025,0.2,0.0625,0.8,0.0625,1.0,10.0,1.0,epoch_3,Debunk,0.95473,-0.3538627331733384,0.048884987606375524,0.4935605994534179,-0.35969314302227406,0.04838776297294471,0.48992174197131033,0.09287602555267106,0.07672116493152233,0.24982298699829789,0.08761026593413707,0.07584375049128153,0.24907283174654296
All,Differing-content-generalization,270,0.8,0.0025,0.2,0.0625,0.8,0.0625,1.0,10.0,1.0,epoch_1,Debunk,0.94465,-0.3394032249575212,0.04968704321241728,0.50052450721366,-0.34745777118150817,0.04889131498802975,0.4970836168576628,0.10418146756725342,0.07874101376299025,0.25,0.09715175063111631,0.0764717008588321,0.2497195496561796
All,Differing-content-generalization,270,0.8,0.0025,0.2,0.0625,0.8,0.0625,1.0,10.0,1.0,epoch_5,Debunk,0.96031,-0.36490203161802676,0.047610252967545154,0.48909445620592756,-0.3687186864673069,0.04747743465096924,0.4862749581632929,0.08362064425171185,0.07533082573152464,0.2511410576744597,0.08017101014024451,0.07460068680572828,0.25082274259280996
All,Differing-content-generalization,270,0.8,0.0025,0.2,0.0625,0.8,0.0625,1.0,10.0,1.0,epoch_2,Debunk,0.94971,-0.347395650874232,0.049101165727914085,0.4940817250296046,-0.35325138766001907,0.047994724502853796,0.4892537702390196,0.0986698798515531,0.07783103305389347,0.2496740680976304,0.09285966144347495,0.07606695558578845,0.2490737192730817
All,Differing-content-generalization,124,0.2,0.01,0.5,0.0225,0.8,0.0025,1.0,10.0,1.0,epoch_4,Debunk,0.84036,0.25135038722423414,0.6780275228803078,0.14525088827779753,0.2479476381359364,0.6848081056888852,0.1313882407727267,0.05359935416180787,0.09675704597963855,0.08340293354762225,0.053544272472304054,0.09384574824336667,0.07260796673355989
All,Differing-content-generalization,124,0.2,0.01,0.5,0.0225,0.8,0.0025,1.0,10.0,1.0,epoch_3,Debunk,0.80887,0.25431328429212596,0.6706188124759949,0.16659883856785954,0.250425728200621,0.6792658774647441,0.1442425098797616,0.053813207982379124,0.09998208244888873,0.0987715563069973,0.05386981417698419,0.09665075189852729,0.08087529244172481
All,Differing-content-generalization,124,0.2,0.01,0.5,0.0225,0.8,0.0025,1.0,10.0,1.0,epoch_1,Debunk,0.26124,0.26893070576834877,0.6401677153975243,0.49997000727404356,0.2601819315737936,0.6556822859314942,0.2210134640062996,0.052725269063733336,0.10937031883165593,0.25,0.05352225565066983,0.10532795347444321,0.12960242821217874
All,Differing-content-generalization,124,0.2,0.01,0.5,0.0225,0.8,0.0025,1.0,10.0,1.0,epoch_5,Debunk,0.88016,0.24627155636792947,0.6839553299651556,0.13206126158790335,0.2432261044253865,0.6894386433473796,0.12295388331883639,0.05423207768485253,0.09426643290188143,0.0735452089331344,0.05415175300781802,0.09215810570159344,0.0661117326062364
All,Differing-content-generalization,124,0.2,0.01,0.5,0.0225,0.8,0.0025,1.0,10.0,1.0,epoch_2,Debunk,0.67906,0.2596854928947923,0.6566431552086555,0.22032414234785494,0.2542381610873573,0.6684438188390607,0.1678412514898696,0.05362373401618665,0.1044741590693163,0.13444844424270846,0.053947454525179905,0.10053404764728816,0.09622114861416625
All,Differing-content-generalization,27,0.2,0.0025,0.2,0.0625,0.8,0.0625,1.0,10.0,1.0,epoch_4,Debunk,0.91875,-0.33288381818595253,0.45138194569265283,0.37156831848917465,-0.3452361342753491,0.4456935778026594,0.35317780953717826,0.13474914844817545,0.332341547214223,0.20397043294036762,0.1230245491083102,0.32962053910354694,0.19233643171838152
